tokens,processed_text
"['world', 'cup', 'captains', 'want', 'wear', 'rainbow', 'armbands', 'qatar', 'fifa', 'come', 'pressure', 'several', 'european', 'soccer', 'federations', 'want', 'support', 'human', 'rights', 'campaign', 'discrimination', 'world', 'cup']",world cup captains want wear rainbow armbands qatar fifa come pressure several european soccer federations want support human rights campaign discrimination world cup
"['man', 'sets', 'fire', 'apparent', 'protest', 'funeral', 'japans', 'abe', 'incident', 'underscores', 'growing', 'wave', 'protests', 'funeral', 'shinzo', 'abe', 'one', 'divisive', 'leaders', 'postwar', 'japanese', 'politics']",man sets fire apparent protest funeral japans abe incident underscores growing wave protests funeral shinzo abe one divisive leaders postwar japanese politics
"['fiona', 'threatens', 'become', 'category', 'storm', 'headed', 'bermuda', 'hurricane', 'fiona', 'lashed', 'turks', 'caicos', 'islands', 'forecast', 'squeeze', 'past', 'bermuda', 'later', 'week']",fiona threatens become category storm headed bermuda hurricane fiona lashed turks caicos islands forecast squeeze past bermuda later week
"['twitch', 'bans', 'gambling', 'sites', 'streamer', 'scams', 'folks', 'one', 'mans', 'claims', 'scammed', 'people', 'platform', 'caused', 'several', 'popular', 'streamers', 'consider', 'twitch', 'boycott']",twitch bans gambling sites streamer scams folks one mans claims scammed people platform caused several popular streamers consider twitch boycott
"['virginia', 'thomas', 'agrees', 'interview', 'jan', 'panel', 'conservative', 'activist', 'virginia', 'thomas', 'wife', 'supreme', 'court', 'justice', 'clarence', 'thomas', 'agreed', 'participate', 'voluntary', 'interview', 'house', 'panel', 'investigating', 'jan', 'insurrection']",virginia thomas agrees interview jan panel conservative activist virginia thomas wife supreme court justice clarence thomas agreed participate voluntary interview house panel investigating jan insurrection
"['russian', 'cosmonaut', 'valery', 'polyakov', 'broke', 'record', 'day', 'stay', 'space', 'dies', 'polyakovs', 'recordbreaking', 'trip', 'outer', 'space', 'saw', 'orbit', 'earth', 'times', 'travel', 'nearly', 'million', 'miles']",russian cosmonaut valery polyakov broke record day stay space dies polyakovs recordbreaking trip outer space saw orbit earth times travel nearly million miles
"['reboot', 'clever', 'navelgazey', 'look', 'inside', 'tv', 'reboots', 'starring', 'keeganmichael', 'key', 'judy', 'greer', 'johnny', 'knoxville', 'hulu', 'show', 'follows', 'revival', 'fictional', 'early', 'sitcom']",reboot clever navelgazey look inside tv reboots starring keeganmichael key judy greer johnny knoxville hulu show follows revival fictional early sitcom
"['maury', 'wills', 'basestealing', 'shortstop', 'dodgers', 'dies', 'maury', 'wills', 'helped', 'los', 'angeles', 'dodgers', 'win', 'three', 'world', 'series', 'titles', 'basestealing', 'prowess', 'died']",maury wills basestealing shortstop dodgers dies maury wills helped los angeles dodgers win three world series titles basestealing prowess died
"['russiancontrolled', 'ukrainian', 'regions', 'schedule', 'votes', 'week', 'join', 'russia', 'concerted', 'quickening', 'kremlinbacked', 'efforts', 'swallow', 'four', 'regions', 'could', 'set', 'stage', 'moscow', 'escalate', 'war']",russiancontrolled ukrainian regions schedule votes week join russia concerted quickening kremlinbacked efforts swallow four regions could set stage moscow escalate war
"['fiona', 'barrels', 'toward', 'turks', 'caicos', 'islands', 'category', 'hurricane', 'turks', 'caicos', 'islands', 'government', 'imposed', 'curfew', 'intensifying', 'storm', 'kept', 'dropping', 'copious', 'rain', 'dominican', 'republic', 'puerto', 'rico']",fiona barrels toward turks caicos islands category hurricane turks caicos islands government imposed curfew intensifying storm kept dropping copious rain dominican republic puerto rico
"['golden', 'globes', 'returning', 'nbc', 'january', 'year', 'offair', 'past', 'months', 'hollywood', 'effectively', 'boycotted', 'globes', 'reports', 'hfpas', 'members', 'nonamerican', 'journalists', 'included', 'black', 'members']",golden globes returning nbc january year offair past months hollywood effectively boycotted globes reports hfpas members nonamerican journalists included black members
"['biden', 'says', 'us', 'forces', 'would', 'defend', 'taiwan', 'china', 'invaded', 'president', 'issues', 'vow', 'tensions', 'china', 'rise']",biden says us forces would defend taiwan china invaded president issues vow tensions china rise
"['hurricane', 'fiona', 'bears', 'dominican', 'republic', 'pounding', 'puerto', 'rico', 'storm', 'knocked', 'power', 'grid', 'unleashed', 'floods', 'landslides', 'puerto', 'rico', 'governor', 'said', 'damage', 'catastrophic']",hurricane fiona bears dominican republic pounding puerto rico storm knocked power grid unleashed floods landslides puerto rico governor said damage catastrophic
"['one', 'dead', 'plane', 'crashes', 'reno', 'air', 'race', 'singleengine', 'plane', 'participating', 'national', 'championship', 'air', 'races', 'sunday', 'crashed', 'field', 'killing', 'pilot', 'officials', 'said']",one dead plane crashes reno air race singleengine plane participating national championship air races sunday crashed field killing pilot officials said
"['beautiful', 'sad', 'time', 'ukrainian', 'cultural', 'festival', 'takes', 'deeper', 'meaning', 'year', 'annual', 'celebration', 'took', 'different', 'feel', 'russias', 'invasion', 'dragged', 'day']",beautiful sad time ukrainian cultural festival takes deeper meaning year annual celebration took different feel russias invasion dragged day
"['family', 'american', 'held', 'afghanistan', 'says', 'freed', 'taliban', 'prisoner', 'swap', 'mark', 'frerichs', 'navy', 'veteran', 'civilian', 'contractor', 'kidnapped', 'afghanistan', 'january']",family american held afghanistan says freed taliban prisoner swap mark frerichs navy veteran civilian contractor kidnapped afghanistan january
"['las', 'vegas', 'aces', 'win', 'first', 'wnba', 'title', 'chelsea', 'gray', 'named', 'mvp', 'las', 'vegas', 'never', 'professional', 'sports', 'champion', 'sunday']",las vegas aces win first wnba title chelsea gray named mvp las vegas never professional sports champion sunday
"['world', 'leaders', 'pay', 'respects', 'queen', 'elizabeth', 'ii', 'president', 'joe', 'biden', 'first', 'lady', 'jill', 'biden', 'among', 'thousands', 'mourners', 'locals', 'tourists', 'royals', 'world', 'leaders', 'pay', 'respects']",world leaders pay respects queen elizabeth ii president joe biden first lady jill biden among thousands mourners locals tourists royals world leaders pay respects
"['james', 'cameron', 'says', 'clashed', 'studio', 'avatar', 'release', 'avatar', 'director', 'said', 'aspects', 'movie', 'still', 'competitive', 'everything', 'thats', 'days']",james cameron says clashed studio avatar release avatar director said aspects movie still competitive everything thats days
"['french', 'spiderman', 'celebrates', 'th', 'birthday', 'massive', 'skyscraper', 'climb', 'alain', 'robert', 'known', 'french', 'spiderman', 'climbed', 'burj', 'khalifa', 'empire', 'state', 'building']",french spiderman celebrates th birthday massive skyscraper climb alain robert known french spiderman climbed burj khalifa empire state building
"['biden', 'says', 'queens', 'death', 'left', 'giant', 'hole', 'royal', 'family', 'us', 'president', 'joe', 'biden', 'london', 'funeral', 'queen', 'elizabeth', 'ii', 'says', 'heart', 'went', 'royal', 'family', 'adding', 'queens', 'death', 'left', 'giant', 'hole']",biden says queens death left giant hole royal family us president joe biden london funeral queen elizabeth ii says heart went royal family adding queens death left giant hole
"['watchdog', 'report', 'finds', 'census', 'takers', 'fudged', 'data', 'didnt', 'get', 'fired', 'despite', 'entering', 'false', 'information', 'work', 'wasnt', 'redone', 'fully', 'cases', 'census', 'takers', 'received', 'bonuses', 'office', 'inspector', 'general', 'reported']",watchdog report finds census takers fudged data didnt get fired despite entering false information work wasnt redone fully cases census takers received bonuses office inspector general reported
"['first', 'public', 'global', 'database', 'fossil', 'fuels', 'launches', 'monday', 'worlds', 'first', 'public', 'database', 'fossil', 'fuel', 'production', 'reserves', 'emissions', 'launches']",first public global database fossil fuels launches monday worlds first public database fossil fuel production reserves emissions launches
"['man', 'charged', 'exposing', 'mourners', 'waiting', 'view', 'queen', 'elizabeth', 'yearold', 'reportedly', 'fled', 'thames', 'failed', 'bid', 'escape', 'police']",man charged exposing mourners waiting view queen elizabeth yearold reportedly fled thames failed bid escape police
"['alaska', 'prepares', 'historiclevel', 'storm', 'barreling', 'towards', 'coast', 'years', 'people', 'referring', 'september', 'storm', 'benchmark', 'storm']",alaska prepares historiclevel storm barreling towards coast years people referring september storm benchmark storm
"['puerto', 'rico', 'braces', 'landslides', 'severe', 'flooding', 'tropical', 'storm', 'fiona', 'approaches', 'puerto', 'rico', 'hurricane', 'watch', 'saturday', 'storm', 'barreled', 'towards', 'us', 'territory']",puerto rico braces landslides severe flooding tropical storm fiona approaches puerto rico hurricane watch saturday storm barreled towards us territory
"['raises', 'alarm', 'disease', 'floodhit', 'areas', 'pakistan', 'world', 'health', 'organization', 'raising', 'alarm', 'second', 'disaster', 'wake', 'deadly', 'floods', 'pakistan', 'summer', 'doctors', 'medical', 'workers', 'ground', 'race', 'battle', 'outbreaks', 'waterborne', 'diseases']",raises alarm disease floodhit areas pakistan world health organization raising alarm second disaster wake deadly floods pakistan summer doctors medical workers ground race battle outbreaks waterborne diseases
"['privatization', 'isnt', 'answer', 'jacksons', 'water', 'crisis', 'studies', 'repeatedly', 'shown', 'ending', 'public', 'administration', 'water', 'supplies', 'doesnt', 'work', 'thats', 'table', 'mississippi']",privatization isnt answer jacksons water crisis studies repeatedly shown ending public administration water supplies doesnt work thats table mississippi
"['german', 'customs', 'officials', 'follow', 'trail', 'slime', 'find', 'bags', 'giant', 'snails', 'never', 'history', 'duesseldorf', 'customs', 'office', 'trail', 'slime', 'led', 'us', 'smuggled', 'goods', 'spokesman', 'michael', 'walk', 'told', 'media']",german customs officials follow trail slime find bags giant snails never history duesseldorf customs office trail slime led us smuggled goods spokesman michael walk told media
"['amazon', 'greenlights', 'blade', 'runner', 'limited', 'series', 'produced', 'ridley', 'scott', 'director', 'original', 'film', 'joins', 'writer', 'sequel', 'newest', 'installment', 'scifi', 'franchise']",amazon greenlights blade runner limited series produced ridley scott director original film joins writer sequel newest installment scifi franchise
"['bill', 'help', 'afghans', 'escaped', 'taliban', 'faces', 'long', 'odds', 'senate', 'republican', 'outrage', 'shoddy', 'us', 'withdrawal', 'afghanistan', 'hasnt', 'spurred', 'support', 'resettling', 'refugees']",bill help afghans escaped taliban faces long odds senate republican outrage shoddy us withdrawal afghanistan hasnt spurred support resettling refugees
"['alabama', 'sidesteps', 'compensation', 'survivor', 'kkk', 'blast', 'sarah', 'collins', 'rudolph', 'lost', 'eye', 'pieces', 'glass', 'inside', 'body', 'ku', 'klux', 'klan', 'bombing', 'killed', 'sister', 'three', 'black', 'girls', 'inside', 'alabama', 'church', 'years', 'ago']",alabama sidesteps compensation survivor kkk blast sarah collins rudolph lost eye pieces glass inside body ku klux klan bombing killed sister three black girls inside alabama church years ago
"['racism', 'seen', 'root', 'water', 'crisis', 'mississippi', 'capital', 'boilwater', 'advisory', 'lifted', 'mississippis', 'capital', 'state', 'stop', 'handing', 'free', 'bottled', 'water', 'saturday']",racism seen root water crisis mississippi capital boilwater advisory lifted mississippis capital state stop handing free bottled water saturday
"['phantom', 'opera', 'close', 'broadway', 'next', 'year', 'phantom', 'opera', 'broadways', 'longestrunning', 'show', 'scheduled', 'close', 'february', 'victim', 'postpandemic', 'softening', 'theater', 'attendance', 'new', 'york']",phantom opera close broadway next year phantom opera broadways longestrunning show scheduled close february victim postpandemic softening theater attendance new york
"['mark', 'meadows', 'complies', 'justice', 'dept', 'subpoena', 'report', 'former', 'white', 'house', 'chief', 'staff', 'turned', 'records', 'part', 'federal', 'investigation', 'jan', 'assault', 'capitol']",mark meadows complies justice dept subpoena report former white house chief staff turned records part federal investigation jan assault capitol
"['meet', 'alex', 'aster', 'tiktoker', 'changing', 'publishing', 'industry', 'better', 'colombianamerican', 'authors', 'new', 'book', 'lightlark', 'rejected', 'numerous', 'times', 'went', 'directly', 'readers', 'support']",meet alex aster tiktoker changing publishing industry better colombianamerican authors new book lightlark rejected numerous times went directly readers support
"['chickfila', 'worker', 'saves', 'woman', 'baby', 'carjacked', 'mykel', 'gordon', 'rushed', 'womans', 'aid', 'held', 'assailant', 'police', 'arrived', 'remarkably', 'wasnt', 'first', 'time', 'gordon', 'may', 'saved', 'life']",chickfila worker saves woman baby carjacked mykel gordon rushed womans aid held assailant police arrived remarkably wasnt first time gordon may saved life
"['viola', 'davis', 'feared', 'heart', 'attack', 'woman', 'king', 'training', 'oscar', 'winner', 'said', 'worked', 'five', 'hours', 'day', 'role', 'new', 'action', 'movie']",viola davis feared heart attack woman king training oscar winner said worked five hours day role new action movie
"['kim', 'kardashians', 'next', 'boyfriend', 'could', 'biochemist', 'reality', 'star', 'told', 'james', 'corden', 'shes', 'branching', 'clearly', 'working', 'whatever', 'im']",kim kardashians next boyfriend could biochemist reality star told james corden shes branching clearly working whatever im
"['podcasters', 'offer', 'k', 'reward', 'information', 'pacs', 'killers', 'las', 'vegas', 'podcasters', 'hoping', 'find', 'shot', 'rap', 'icon', 'years', 'ago']",podcasters offer k reward information pacs killers las vegas podcasters hoping find shot rap icon years ago
"['cardi', 'b', 'donates', 'old', 'middle', 'school', 'bronx', 'grammywinning', 'rapper', 'surprised', 'starstruck', 'children', 'alexander', 'macomb', 'school', 'morris', 'heights', 'make', 'announcement']",cardi b donates old middle school bronx grammywinning rapper surprised starstruck children alexander macomb school morris heights make announcement
"['bill', 'richardson', 'visits', 'moscow', 'brittney', 'griner', 'paul', 'whelan', 'remain', 'jailed', 'richardson', 'former', 'us', 'ambassador', 'united', 'nations', 'frequent', 'emissary', 'hostage', 'negotiations', 'held', 'meetings', 'russian', 'leaders']",bill richardson visits moscow brittney griner paul whelan remain jailed richardson former us ambassador united nations frequent emissary hostage negotiations held meetings russian leaders
"['emmy', 'awards', 'viewership', 'dips', 'recordlow', 'audience', 'continues', 'drop', 'television', 'awards', 'ceremony', 'lost', 'roughly', 'million', 'viewers', 'compared', 'program']",emmy awards viewership dips recordlow audience continues drop television awards ceremony lost roughly million viewers compared program
"['possible', 'nationwide', 'rail', 'strike', 'already', 'impacting', 'travelers', 'businesses', 'white', 'house', 'press', 'secretary', 'karine', 'jeanpierre', 'said', 'rail', 'shutdown', 'acceptable', 'would', 'harm', 'families', 'well', 'businesses']",possible nationwide rail strike already impacting travelers businesses white house press secretary karine jeanpierre said rail shutdown acceptable would harm families well businesses
"['democrats', 'nominate', 'seth', 'magaziner', 'key', 'rhode', 'island', 'house', 'race', 'states', 'general', 'treasurer', 'slated', 'face', 'former', 'cranston', 'mayor', 'allan', 'fung', 'r', 'general', 'election']",democrats nominate seth magaziner key rhode island house race states general treasurer slated face former cranston mayor allan fung r general election
"['tiktok', 'search', 'results', 'riddled', 'misinformation', 'report', 'us', 'firm', 'monitors', 'false', 'online', 'claims', 'reports', 'searches', 'information', 'prominent', 'news', 'topics', 'tiktok', 'likely', 'turn', 'results', 'riddled', 'misinformation']",tiktok search results riddled misinformation report us firm monitors false online claims reports searches information prominent news topics tiktok likely turn results riddled misinformation
"['us', 'inflation', 'falls', 'nd', 'straight', 'month', 'lower', 'gas', 'costs', 'monthly', 'basis', 'prices', 'rose', 'flat', 'reading', 'july']",us inflation falls nd straight month lower gas costs monthly basis prices rose flat reading july
"['jeanluc', 'godard', 'pioneering', 'french', 'filmmaker', 'dies', 'director', 'best', 'known', 'groundbreaking', 'movie', 'breathless']",jeanluc godard pioneering french filmmaker dies director best known groundbreaking movie breathless
"['thousands', 'minnesota', 'nurses', 'launch', 'day', 'strike', 'pay', 'theyre', 'pressing', 'salary', 'increases', 'say', 'help', 'improve', 'patient', 'care', 'resolving', 'understaffing', 'stresses', 'worsened', 'pandemic']",thousands minnesota nurses launch day strike pay theyre pressing salary increases say help improve patient care resolving understaffing stresses worsened pandemic
"['joe', 'biden', 'urges', 'national', 'unity', 'speech', 'renewed', 'cancer', 'moonshot', 'cancer', 'discriminate', 'red', 'blue', 'president', 'said', 'monday', 'beating', 'cancer', 'something', 'together']",joe biden urges national unity speech renewed cancer moonshot cancer discriminate red blue president said monday beating cancer something together
"['sen', 'tim', 'scott', 'downplays', 'electability', 'concerns', 'struggling', 'senate', 'gop', 'candidates', 'field', 'gonna', 'play', 'scott', 'told', 'fox', 'news', 'sunday']",sen tim scott downplays electability concerns struggling senate gop candidates field gonna play scott told fox news sunday
"['boston', 'marathon', 'make', 'race', 'inclusive', 'nonbinary', 'runners', 'races', 'organizers', 'say', 'nonbinary', 'athletes', 'wont', 'register', 'mens', 'womens', 'divisions', 'provided', 'qualifying', 'times', 'guide', 'training']",boston marathon make race inclusive nonbinary runners races organizers say nonbinary athletes wont register mens womens divisions provided qualifying times guide training
"['anthony', 'varvaro', 'mlb', 'pitcher', 'turned', 'transit', 'cop', 'dies', 'crash', 'way', 'ceremony', 'varvaro', 'pitched', 'mostly', 'atlanta', 'braves', 'started', 'law', 'enforcement', 'career']",anthony varvaro mlb pitcher turned transit cop dies crash way ceremony varvaro pitched mostly atlanta braves started law enforcement career
"['electability', 'ballot', 'key', 'rhode', 'island', 'house', 'primary', 'democrats', 'states', 'moderate', 'house', 'district', 'deciding', 'take', 'popular', 'republican', 'former', 'mayor']",electability ballot key rhode island house primary democrats states moderate house district deciding take popular republican former mayor
"['nod', 'jfk', 'joe', 'biden', 'pushing', 'moonshot', 'fight', 'cancer', 'biden', 'plans', 'draw', 'attention', 'new', 'federally', 'backed', 'study', 'seeks', 'validate', 'using', 'blood', 'tests', 'screen', 'multiple', 'cancers']",nod jfk joe biden pushing moonshot fight cancer biden plans draw attention new federally backed study seeks validate using blood tests screen multiple cancers
"['ani', 'liu', 'brilliantly', 'disguising', 'art', 'science', 'researchbased', 'artist', 'found', 'dynamic', 'ways', 'confront', 'conversations', 'female', 'empowerment', 'motherhood', 'labor', 'artwork']",ani liu brilliantly disguising art science researchbased artist found dynamic ways confront conversations female empowerment motherhood labor artwork
"['sidney', 'tackles', 'notsocomfortable', 'conversations', 'black', 'cinema', 'icon', 'sensationalizing', 'even', 'tarnishing', 'reputation', 'sidney', 'poitier', 'rather', 'new', 'documentary', 'honors', 'humanity', 'every', 'facet']",sidney tackles notsocomfortable conversations black cinema icon sensationalizing even tarnishing reputation sidney poitier rather new documentary honors humanity every facet
"['carlos', 'alcaraz', 'wins', 'us', 'open', 'st', 'slam', 'title', 'top', 'ranking', 'carlos', 'alcaraz', 'defeated', 'casper', 'ruud', 'us', 'open', 'final', 'earn', 'first', 'grand', 'slam', 'age', 'become', 'youngest', 'man', 'move', 'rankings']",carlos alcaraz wins us open st slam title top ranking carlos alcaraz defeated casper ruud us open final earn first grand slam age become youngest man move rankings
"['weather', 'helping', 'threat', 'western', 'fires', 'persists', 'firefighters', 'made', 'progress', 'huge', 'northern', 'california', 'wildfire', 'still', 'growing', 'threatening', 'thousands', 'mountain', 'homes']",weather helping threat western fires persists firefighters made progress huge northern california wildfire still growing threatening thousands mountain homes
"['biden', 'honors', 'victims', 'vows', 'commitment', 'thwart', 'terror', 'president', 'joe', 'biden', 'marked', 'st', 'anniversary', 'sept', 'attacks', 'taking', 'part', 'somber', 'wreathlaying', 'ceremony', 'held', 'pentagon', 'steady', 'rain']",biden honors victims vows commitment thwart terror president joe biden marked st anniversary sept attacks taking part somber wreathlaying ceremony held pentagon steady rain
"['attacks', 'still', 'reverberate', 'us', 'marks', 'st', 'anniversary', 'september', 'th', 'remains', 'point', 'reflection', 'attacks', 'reconfigured', 'national', 'security', 'policy', 'spurred', 'us', 'war', 'terror', 'worldwide']",attacks still reverberate us marks st anniversary september th remains point reflection attacks reconfigured national security policy spurred us war terror worldwide
"['last', 'reactor', 'ukraines', 'zaporizhzhia', 'nuclear', 'plant', 'stopped', 'plant', 'one', 'biggest', 'atomic', 'power', 'stations', 'world', 'occupied', 'russian', 'forces', 'since', 'early', 'war', 'marked', 'th', 'day', 'sunday']",last reactor ukraines zaporizhzhia nuclear plant stopped plant one biggest atomic power stations world occupied russian forces since early war marked th day sunday
"['payment', 'processor', 'visa', 'start', 'categorizing', 'sales', 'gun', 'stores', 'visas', 'adoption', 'significant', 'largest', 'payment', 'network', 'likely', 'add', 'pressure', 'mastercard', 'american', 'express', 'adopt', 'code', 'well']",payment processor visa start categorizing sales gun stores visas adoption significant largest payment network likely add pressure mastercard american express adopt code well
"['us', 'trump', 'team', 'propose', 'names', 'arbiter', 'maralago', 'probe', 'justice', 'department', 'proposed', 'two', 'retired', 'judges', 'role', 'trumps', 'team', 'proposed', 'retired', 'judge', 'lawyer']",us trump team propose names arbiter maralago probe justice department proposed two retired judges role trumps team proposed retired judge lawyer
"['james', 'cameron', 'presents', 'new', 'scenes', 'avatar', 'way', 'water', 'expo', 'director', 'told', 'audience', 'super', 'excited', 'finally', 'finishing', 'movie', 'two', 'three', 'additional', 'installments', 'works']",james cameron presents new scenes avatar way water expo director told audience super excited finally finishing movie two three additional installments works
"['russia', 'says', 'pulling', 'back', 'forces', 'ukraines', 'kharkiv', 'region', 'russias', 'defense', 'ministry', 'announced', 'troops', 'pulled', 'back', 'two', 'area', 'ukrainian', 'counter', 'offensive', 'made', 'significant', 'advances']",russia says pulling back forces ukraines kharkiv region russias defense ministry announced troops pulled back two area ukrainian counter offensive made significant advances
"['severe', 'winds', 'batter', 'southern', 'california', 'heat', 'wave', 'breaks', 'day', 'heat', 'wave', 'nearly', 'overwhelmed', 'electrical', 'grid', 'southern', 'california', 'got', 'cooler', 'weather', 'also', 'ferocious', 'tropical', 'storm']",severe winds batter southern california heat wave breaks day heat wave nearly overwhelmed electrical grid southern california got cooler weather also ferocious tropical storm
"['ukraine', 'claws', 'back', 'territory', 'nuclear', 'plant', 'peril', 'ukrainian', 'forces', 'claiming', 'new', 'success', 'counteroffensive', 'russian', 'forces', 'east']",ukraine claws back territory nuclear plant peril ukrainian forces claiming new success counteroffensive russian forces east
"['watch', 'harry', 'styles', 'pay', 'tribute', 'queen', 'elizabeth', 'ii', 'nyc', 'concert', 'please', 'join', 'round', 'applause', 'years', 'service', 'pop', 'star', 'told', 'crowd', 'paused', 'madison', 'square', 'garden', 'performance']",watch harry styles pay tribute queen elizabeth ii nyc concert please join round applause years service pop star told crowd paused madison square garden performance
"['exemployee', 'testifies', 'doubts', 'r', 'kelly', 'abuse', 'denials', 'derrell', 'mcdavids', 'testimony', 'could', 'major', 'blow', 'rb', 'singers', 'hope', 'acquittal']",exemployee testifies doubts r kelly abuse denials derrell mcdavids testimony could major blow rb singers hope acquittal
"['hearts', 'broken', 'historic', 'front', 'pages', 'mark', 'queens', 'death', 'british', 'international', 'newspapers', 'honor', 'passing', 'uks', 'longestreigning', 'monarch']",hearts broken historic front pages mark queens death british international newspapers honor passing uks longestreigning monarch
"['jojo', 'siwa', 'receive', 'prestigious', 'glsen', 'honor', 'lgbtq', 'advocacy', 'work', 'yearold', 'singer', 'dancer', 'youtube', 'icon', 'receive', 'gamechanger', 'award', 'focus', 'antibullying', 'efforts']",jojo siwa receive prestigious glsen honor lgbtq advocacy work yearold singer dancer youtube icon receive gamechanger award focus antibullying efforts
"['un', 'chief', 'asks', 'world', 'massive', 'help', 'floodhit', 'pakistan', 'speaking', 'islamabad', 'antonio', 'guterres', 'said', 'countries', 'bearing', 'responsibility', 'climate', 'change', 'faced', 'challenge']",un chief asks world massive help floodhit pakistan speaking islamabad antonio guterres said countries bearing responsibility climate change faced challenge
"['politicians', 'dna', 'connected', 'las', 'vegas', 'journalists', 'murder', 'police', 'say', 'clark', 'county', 'public', 'administrator', 'robert', 'telles', 'arrested', 'fatal', 'stabbing', 'jeff', 'german', 'investigating', 'office']",politicians dna connected las vegas journalists murder police say clark county public administrator robert telles arrested fatal stabbing jeff german investigating office
"['michelle', 'obama', 'celebrated', 'wearing', 'braids', 'white', 'house', 'portrait', 'unveiling', 'internet', 'ignited', 'approval', 'former', 'first', 'ladys', 'hairstyle', 'choice', 'monumental', 'day']",michelle obama celebrated wearing braids white house portrait unveiling internet ignited approval former first ladys hairstyle choice monumental day
"['norman', 'reedus', 'opens', 'walking', 'dead', 'injury', 'thought', 'going', 'die', 'actor', 'said', 'badly', 'concussed', 'shooting', 'series', 'finale', 'feared', 'life', 'holding', 'onto', 'walls', 'recovering']",norman reedus opens walking dead injury thought going die actor said badly concussed shooting series finale feared life holding onto walls recovering
"['michigan', 'supreme', 'court', 'revives', 'abortion', 'rights', 'amendment', 'novembers', 'ballot', 'opponents', 'measure', 'claimed', 'typos', 'made', 'qualifying', 'petitions', 'incomprehensible', 'states', 'highest', 'court', 'rejected', 'argument']",michigan supreme court revives abortion rights amendment novembers ballot opponents measure claimed typos made qualifying petitions incomprehensible states highest court rejected argument
"['portland', 'residents', 'disabilities', 'sue', 'citys', 'blocked', 'sidewalks', 'lawsuit', 'says', 'allowing', 'homeless', 'peoples', 'tents', 'block', 'city', 'sidewalks', 'makes', 'difficult', 'people', 'using', 'wheelchairs', 'walkers', 'canes', 'use']",portland residents disabilities sue citys blocked sidewalks lawsuit says allowing homeless peoples tents block city sidewalks makes difficult people using wheelchairs walkers canes use
