clean_text,tokens
world cup captains want to wear rainbow armbands in qatar fifa has come under pressure from several european soccer federations who want to support a human rights campaign against discrimination at the world cup,"['world', 'cup', 'captains', 'want', 'wear', 'rainbow', 'armbands', 'qatar', 'fifa', 'come', 'pressure', 'several', 'european', 'soccer', 'federations', 'want', 'support', 'human', 'rights', 'campaign', 'discrimination', 'world', 'cup']"
man sets himself on fire in apparent protest of funeral for japans abe the incident underscores a growing wave of protests against the funeral for shinzo abe who was one of the most divisive leaders in postwar japanese politics,"['man', 'sets', 'fire', 'apparent', 'protest', 'funeral', 'japans', 'abe', 'incident', 'underscores', 'growing', 'wave', 'protests', 'funeral', 'shinzo', 'abe', 'one', 'divisive', 'leaders', 'postwar', 'japanese', 'politics']"
fiona threatens to become category  storm headed to bermuda hurricane fiona lashed the turks and caicos islands and was forecast to squeeze past bermuda later this week,"['fiona', 'threatens', 'become', 'category', 'storm', 'headed', 'bermuda', 'hurricane', 'fiona', 'lashed', 'turks', 'caicos', 'islands', 'forecast', 'squeeze', 'past', 'bermuda', 'later', 'week']"
twitch bans gambling sites after streamer scams folks out of  one mans claims that he scammed people on the platform caused several popular streamers to consider a twitch boycott,"['twitch', 'bans', 'gambling', 'sites', 'streamer', 'scams', 'folks', 'one', 'mans', 'claims', 'scammed', 'people', 'platform', 'caused', 'several', 'popular', 'streamers', 'consider', 'twitch', 'boycott']"
virginia thomas agrees to interview with jan  panel conservative activist virginia thomas the wife of supreme court justice clarence thomas has agreed to participate in a voluntary interview with the house panel investigating the jan  insurrection,"['virginia', 'thomas', 'agrees', 'interview', 'jan', 'panel', 'conservative', 'activist', 'virginia', 'thomas', 'wife', 'supreme', 'court', 'justice', 'clarence', 'thomas', 'agreed', 'participate', 'voluntary', 'interview', 'house', 'panel', 'investigating', 'jan', 'insurrection']"
russian cosmonaut valery polyakov who broke record with day stay in space dies at  polyakovs recordbreaking trip to outer space saw him orbit earth  times and travel nearly  million miles,"['russian', 'cosmonaut', 'valery', 'polyakov', 'broke', 'record', 'day', 'stay', 'space', 'dies', 'polyakovs', 'recordbreaking', 'trip', 'outer', 'space', 'saw', 'orbit', 'earth', 'times', 'travel', 'nearly', 'million', 'miles']"
reboot is a clever and not too navelgazey look inside tv reboots starring keeganmichael key judy greer and johnny knoxville the hulu show follows the revival of a fictional early s sitcom,"['reboot', 'clever', 'navelgazey', 'look', 'inside', 'tv', 'reboots', 'starring', 'keeganmichael', 'key', 'judy', 'greer', 'johnny', 'knoxville', 'hulu', 'show', 'follows', 'revival', 'fictional', 'early', 'sitcom']"
maury wills basestealing shortstop for dodgers dies at  maury wills who helped the los angeles dodgers win three world series titles with his basestealing prowess has died,"['maury', 'wills', 'basestealing', 'shortstop', 'dodgers', 'dies', 'maury', 'wills', 'helped', 'los', 'angeles', 'dodgers', 'win', 'three', 'world', 'series', 'titles', 'basestealing', 'prowess', 'died']"
 russiancontrolled ukrainian regions schedule votes this week to join russia the concerted and quickening kremlinbacked efforts to swallow up four regions could set the stage for moscow to escalate the war,"['russiancontrolled', 'ukrainian', 'regions', 'schedule', 'votes', 'week', 'join', 'russia', 'concerted', 'quickening', 'kremlinbacked', 'efforts', 'swallow', 'four', 'regions', 'could', 'set', 'stage', 'moscow', 'escalate', 'war']"
fiona barrels toward turks and caicos islands as category  hurricane the turks and caicos islands government imposed a curfew as the intensifying storm kept dropping copious rain over the dominican republic and puerto rico,"['fiona', 'barrels', 'toward', 'turks', 'caicos', 'islands', 'category', 'hurricane', 'turks', 'caicos', 'islands', 'government', 'imposed', 'curfew', 'intensifying', 'storm', 'kept', 'dropping', 'copious', 'rain', 'dominican', 'republic', 'puerto', 'rico']"
golden globes returning to nbc in january after year offair for the past  months hollywood has effectively boycotted the globes after reports that the hfpas  members of nonamerican journalists included no black members,"['golden', 'globes', 'returning', 'nbc', 'january', 'year', 'offair', 'past', 'months', 'hollywood', 'effectively', 'boycotted', 'globes', 'reports', 'hfpas', 'members', 'nonamerican', 'journalists', 'included', 'black', 'members']"
biden says us forces would defend taiwan if china invaded president issues vow as tensions with china rise,"['biden', 'says', 'us', 'forces', 'would', 'defend', 'taiwan', 'china', 'invaded', 'president', 'issues', 'vow', 'tensions', 'china', 'rise']"
hurricane fiona bears down on dominican republic after pounding puerto rico the storm knocked out the power grid and unleashed floods and landslides in puerto rico where the governor said the damage was catastrophic,"['hurricane', 'fiona', 'bears', 'dominican', 'republic', 'pounding', 'puerto', 'rico', 'storm', 'knocked', 'power', 'grid', 'unleashed', 'floods', 'landslides', 'puerto', 'rico', 'governor', 'said', 'damage', 'catastrophic']"
one dead after plane crashes at reno air race the singleengine plane was participating in the national championship air races on sunday when it crashed into a field killing the pilot officials said,"['one', 'dead', 'plane', 'crashes', 'reno', 'air', 'race', 'singleengine', 'plane', 'participating', 'national', 'championship', 'air', 'races', 'sunday', 'crashed', 'field', 'killing', 'pilot', 'officials', 'said']"
beautiful and sad at the same time ukrainian cultural festival takes on a deeper meaning this year an annual celebration took on a different feel as russias invasion dragged into day ,"['beautiful', 'sad', 'time', 'ukrainian', 'cultural', 'festival', 'takes', 'deeper', 'meaning', 'year', 'annual', 'celebration', 'took', 'different', 'feel', 'russias', 'invasion', 'dragged', 'day']"
family of american held in afghanistan says he was freed by taliban in prisoner swap mark frerichs a navy veteran and civilian contractor was kidnapped in afghanistan in january ,"['family', 'american', 'held', 'afghanistan', 'says', 'freed', 'taliban', 'prisoner', 'swap', 'mark', 'frerichs', 'navy', 'veteran', 'civilian', 'contractor', 'kidnapped', 'afghanistan', 'january']"
las vegas aces win first wnba title chelsea gray named mvp las vegas never had a professional sports champion  until sunday,"['las', 'vegas', 'aces', 'win', 'first', 'wnba', 'title', 'chelsea', 'gray', 'named', 'mvp', 'las', 'vegas', 'never', 'professional', 'sports', 'champion', 'sunday']"
world leaders pay respects to queen elizabeth ii president joe biden and first lady jill biden were among thousands of mourners  from locals and tourists to royals and world leaders  to pay their respects,"['world', 'leaders', 'pay', 'respects', 'queen', 'elizabeth', 'ii', 'president', 'joe', 'biden', 'first', 'lady', 'jill', 'biden', 'among', 'thousands', 'mourners', 'locals', 'tourists', 'royals', 'world', 'leaders', 'pay', 'respects']"
james cameron says he clashed with studio before avatar release the avatar director said aspects of his  movie are still competitive with everything thats out there these days,"['james', 'cameron', 'says', 'clashed', 'studio', 'avatar', 'release', 'avatar', 'director', 'said', 'aspects', 'movie', 'still', 'competitive', 'everything', 'thats', 'days']"
french spiderman celebrates th birthday with a massive skyscraper climb alain robert known as the french spiderman has climbed the burj khalifa and the empire state building,"['french', 'spiderman', 'celebrates', 'th', 'birthday', 'massive', 'skyscraper', 'climb', 'alain', 'robert', 'known', 'french', 'spiderman', 'climbed', 'burj', 'khalifa', 'empire', 'state', 'building']"
biden says queens death left giant hole for royal family us president joe biden in london for the funeral of queen elizabeth ii says his heart went out to the royal family adding the queens death left a giant hole,"['biden', 'says', 'queens', 'death', 'left', 'giant', 'hole', 'royal', 'family', 'us', 'president', 'joe', 'biden', 'london', 'funeral', 'queen', 'elizabeth', 'ii', 'says', 'heart', 'went', 'royal', 'family', 'adding', 'queens', 'death', 'left', 'giant', 'hole']"
watchdog report finds some census takers who fudged  data didnt get fired despite entering false information their work wasnt redone fully and in some cases the census takers received bonuses the office of inspector general reported,"['watchdog', 'report', 'finds', 'census', 'takers', 'fudged', 'data', 'didnt', 'get', 'fired', 'despite', 'entering', 'false', 'information', 'work', 'wasnt', 'redone', 'fully', 'cases', 'census', 'takers', 'received', 'bonuses', 'office', 'inspector', 'general', 'reported']"
first public global database of fossil fuels launches on monday the worlds first public database of fossil fuel production reserves and emissions launches,"['first', 'public', 'global', 'database', 'fossil', 'fuels', 'launches', 'monday', 'worlds', 'first', 'public', 'database', 'fossil', 'fuel', 'production', 'reserves', 'emissions', 'launches']"
man charged with exposing himself to mourners waiting to view queen elizabeth the yearold reportedly fled into the thames in a failed bid to escape police,"['man', 'charged', 'exposing', 'mourners', 'waiting', 'view', 'queen', 'elizabeth', 'yearold', 'reportedly', 'fled', 'thames', 'failed', 'bid', 'escape', 'police']"
alaska prepares for historiclevel storm barreling towards coast in  years people will be referring to the september  storm as a benchmark storm,"['alaska', 'prepares', 'historiclevel', 'storm', 'barreling', 'towards', 'coast', 'years', 'people', 'referring', 'september', 'storm', 'benchmark', 'storm']"
puerto rico braces for landslides and severe flooding as tropical storm fiona approaches puerto rico was under a hurricane watch saturday as the storm barreled towards the us territory,"['puerto', 'rico', 'braces', 'landslides', 'severe', 'flooding', 'tropical', 'storm', 'fiona', 'approaches', 'puerto', 'rico', 'hurricane', 'watch', 'saturday', 'storm', 'barreled', 'towards', 'us', 'territory']"
who raises alarm on disease in floodhit areas of pakistan the world health organization is raising the alarm about a second disaster in the wake of the deadly floods in pakistan this summer as doctors and medical workers on the ground race to battle outbreaks of waterborne and other diseases,"['raises', 'alarm', 'disease', 'floodhit', 'areas', 'pakistan', 'world', 'health', 'organization', 'raising', 'alarm', 'second', 'disaster', 'wake', 'deadly', 'floods', 'pakistan', 'summer', 'doctors', 'medical', 'workers', 'ground', 'race', 'battle', 'outbreaks', 'waterborne', 'diseases']"
privatization isnt the answer to jacksons water crisis studies have repeatedly shown that ending public administration of water supplies doesnt work  but thats now on the table in mississippi,"['privatization', 'isnt', 'answer', 'jacksons', 'water', 'crisis', 'studies', 'repeatedly', 'shown', 'ending', 'public', 'administration', 'water', 'supplies', 'doesnt', 'work', 'thats', 'table', 'mississippi']"
german customs officials follow trail of slime and find bags of giant snails never in the history of the duesseldorf customs office has a trail of slime led us to smuggled goods spokesman michael walk told the media,"['german', 'customs', 'officials', 'follow', 'trail', 'slime', 'find', 'bags', 'giant', 'snails', 'never', 'history', 'duesseldorf', 'customs', 'office', 'trail', 'slime', 'led', 'us', 'smuggled', 'goods', 'spokesman', 'michael', 'walk', 'told', 'media']"
amazon greenlights blade runner  limited series produced by ridley scott the director of the original  film joins a writer of the  sequel for the newest installment in the scifi franchise,"['amazon', 'greenlights', 'blade', 'runner', 'limited', 'series', 'produced', 'ridley', 'scott', 'director', 'original', 'film', 'joins', 'writer', 'sequel', 'newest', 'installment', 'scifi', 'franchise']"
bill to help afghans who escaped taliban faces long odds in the senate republican outrage over the shoddy us withdrawal from afghanistan hasnt spurred support for resettling refugees,"['bill', 'help', 'afghans', 'escaped', 'taliban', 'faces', 'long', 'odds', 'senate', 'republican', 'outrage', 'shoddy', 'us', 'withdrawal', 'afghanistan', 'hasnt', 'spurred', 'support', 'resettling', 'refugees']"
alabama sidesteps compensation for survivor of  kkk blast sarah collins rudolph lost an eye and has pieces of glass inside her body from a ku klux klan bombing that killed her sister and three other black girls inside an alabama church  years ago,"['alabama', 'sidesteps', 'compensation', 'survivor', 'kkk', 'blast', 'sarah', 'collins', 'rudolph', 'lost', 'eye', 'pieces', 'glass', 'inside', 'body', 'ku', 'klux', 'klan', 'bombing', 'killed', 'sister', 'three', 'black', 'girls', 'inside', 'alabama', 'church', 'years', 'ago']"
racism seen as root of water crisis in mississippi capital a boilwater advisory has been lifted for mississippis capital and the state will stop handing out free bottled water on saturday,"['racism', 'seen', 'root', 'water', 'crisis', 'mississippi', 'capital', 'boilwater', 'advisory', 'lifted', 'mississippis', 'capital', 'state', 'stop', 'handing', 'free', 'bottled', 'water', 'saturday']"
the phantom of the opera to close on broadway next year the phantom of the opera  broadways longestrunning show  is scheduled to close in february  a victim of postpandemic softening in theater attendance in new york,"['phantom', 'opera', 'close', 'broadway', 'next', 'year', 'phantom', 'opera', 'broadways', 'longestrunning', 'show', 'scheduled', 'close', 'february', 'victim', 'postpandemic', 'softening', 'theater', 'attendance', 'new', 'york']"
mark meadows complies with justice dept subpoena report the former white house chief of staff has turned over records as part of a federal investigation into the jan   assault on the capitol,"['mark', 'meadows', 'complies', 'justice', 'dept', 'subpoena', 'report', 'former', 'white', 'house', 'chief', 'staff', 'turned', 'records', 'part', 'federal', 'investigation', 'jan', 'assault', 'capitol']"
meet alex aster the tiktoker changing the publishing industry for the better the colombianamerican authors new book lightlark was rejected numerous times  until she went directly to her readers for support,"['meet', 'alex', 'aster', 'tiktoker', 'changing', 'publishing', 'industry', 'better', 'colombianamerican', 'authors', 'new', 'book', 'lightlark', 'rejected', 'numerous', 'times', 'went', 'directly', 'readers', 'support']"
chickfila worker saves woman with baby from being carjacked mykel gordon rushed to the womans aid and held down her assailant until police arrived remarkably this wasnt the first time gordon may have saved a life,"['chickfila', 'worker', 'saves', 'woman', 'baby', 'carjacked', 'mykel', 'gordon', 'rushed', 'womans', 'aid', 'held', 'assailant', 'police', 'arrived', 'remarkably', 'wasnt', 'first', 'time', 'gordon', 'may', 'saved', 'life']"
viola davis feared a heart attack during the woman king training the oscar winner said she worked out for five hours a day for her role in the new action movie,"['viola', 'davis', 'feared', 'heart', 'attack', 'woman', 'king', 'training', 'oscar', 'winner', 'said', 'worked', 'five', 'hours', 'day', 'role', 'new', 'action', 'movie']"
kim kardashians next boyfriend could be a biochemist the reality star told james corden shes branching out because clearly its not working whatever im doing,"['kim', 'kardashians', 'next', 'boyfriend', 'could', 'biochemist', 'reality', 'star', 'told', 'james', 'corden', 'shes', 'branching', 'clearly', 'working', 'whatever', 'im']"
podcasters offer k reward for information on pacs killers the las vegas podcasters are hoping to find out who shot the rap icon  years ago,"['podcasters', 'offer', 'k', 'reward', 'information', 'pacs', 'killers', 'las', 'vegas', 'podcasters', 'hoping', 'find', 'shot', 'rap', 'icon', 'years', 'ago']"
cardi b donates  to her old middle school in the bronx the grammywinning rapper surprised starstruck children at the alexander macomb school in morris heights to make the announcement,"['cardi', 'b', 'donates', 'old', 'middle', 'school', 'bronx', 'grammywinning', 'rapper', 'surprised', 'starstruck', 'children', 'alexander', 'macomb', 'school', 'morris', 'heights', 'make', 'announcement']"
bill richardson visits moscow as brittney griner paul whelan remain jailed richardson the former us ambassador to the united nations and a frequent emissary in hostage negotiations held meetings with russian leaders,"['bill', 'richardson', 'visits', 'moscow', 'brittney', 'griner', 'paul', 'whelan', 'remain', 'jailed', 'richardson', 'former', 'us', 'ambassador', 'united', 'nations', 'frequent', 'emissary', 'hostage', 'negotiations', 'held', 'meetings', 'russian', 'leaders']"
emmy awards viewership dips to a recordlow as its audience continues to drop the television awards ceremony lost roughly  million viewers compared to its  program,"['emmy', 'awards', 'viewership', 'dips', 'recordlow', 'audience', 'continues', 'drop', 'television', 'awards', 'ceremony', 'lost', 'roughly', 'million', 'viewers', 'compared', 'program']"
possible nationwide rail strike is already impacting travelers businesses white house press secretary karine jeanpierre said a rail shutdown is not acceptable and would harm families as well as businesses,"['possible', 'nationwide', 'rail', 'strike', 'already', 'impacting', 'travelers', 'businesses', 'white', 'house', 'press', 'secretary', 'karine', 'jeanpierre', 'said', 'rail', 'shutdown', 'acceptable', 'would', 'harm', 'families', 'well', 'businesses']"
democrats nominate seth magaziner in key rhode island house race the states general treasurer is slated to face former cranston mayor allan fung r in the general election,"['democrats', 'nominate', 'seth', 'magaziner', 'key', 'rhode', 'island', 'house', 'race', 'states', 'general', 'treasurer', 'slated', 'face', 'former', 'cranston', 'mayor', 'allan', 'fung', 'r', 'general', 'election']"
tiktok search results riddled with misinformation report a us firm that monitors false online claims reports that searches for information about prominent news topics on tiktok are likely to turn up results riddled with misinformation,"['tiktok', 'search', 'results', 'riddled', 'misinformation', 'report', 'us', 'firm', 'monitors', 'false', 'online', 'claims', 'reports', 'searches', 'information', 'prominent', 'news', 'topics', 'tiktok', 'likely', 'turn', 'results', 'riddled', 'misinformation']"
us inflation falls for nd straight month on lower gas costs on a monthly basis prices rose  after a flat reading in july,"['us', 'inflation', 'falls', 'nd', 'straight', 'month', 'lower', 'gas', 'costs', 'monthly', 'basis', 'prices', 'rose', 'flat', 'reading', 'july']"
jeanluc godard pioneering french filmmaker dies the director was best known for the groundbreaking movie breathless,"['jeanluc', 'godard', 'pioneering', 'french', 'filmmaker', 'dies', 'director', 'best', 'known', 'groundbreaking', 'movie', 'breathless']"
thousands of minnesota nurses launch day strike over pay theyre pressing for salary increases they say will help improve patient care by resolving understaffing stresses that have worsened in the pandemic,"['thousands', 'minnesota', 'nurses', 'launch', 'day', 'strike', 'pay', 'theyre', 'pressing', 'salary', 'increases', 'say', 'help', 'improve', 'patient', 'care', 'resolving', 'understaffing', 'stresses', 'worsened', 'pandemic']"
joe biden urges national unity in speech on renewed cancer moonshot cancer does not discriminate red and blue the president said monday beating cancer is something we can do together,"['joe', 'biden', 'urges', 'national', 'unity', 'speech', 'renewed', 'cancer', 'moonshot', 'cancer', 'discriminate', 'red', 'blue', 'president', 'said', 'monday', 'beating', 'cancer', 'something', 'together']"
sen tim scott downplays electability concerns over struggling senate gop candidates who we have on the field is who were gonna play scott told fox news sunday,"['sen', 'tim', 'scott', 'downplays', 'electability', 'concerns', 'struggling', 'senate', 'gop', 'candidates', 'field', 'gonna', 'play', 'scott', 'told', 'fox', 'news', 'sunday']"
boston marathon to make race more inclusive for nonbinary runners the races organizers say nonbinary athletes wont have to register with the mens or womens divisions and provided qualifying times to guide their training,"['boston', 'marathon', 'make', 'race', 'inclusive', 'nonbinary', 'runners', 'races', 'organizers', 'say', 'nonbinary', 'athletes', 'wont', 'register', 'mens', 'womens', 'divisions', 'provided', 'qualifying', 'times', 'guide', 'training']"
anthony varvaro mlb pitcher turned transit cop dies in crash on way to  ceremony varvaro pitched mostly with the atlanta braves and started his law enforcement career in ,"['anthony', 'varvaro', 'mlb', 'pitcher', 'turned', 'transit', 'cop', 'dies', 'crash', 'way', 'ceremony', 'varvaro', 'pitched', 'mostly', 'atlanta', 'braves', 'started', 'law', 'enforcement', 'career']"
electability is on the ballot in key rhode island house primary democrats in the states more moderate house district are deciding who will take on a popular republican former mayor,"['electability', 'ballot', 'key', 'rhode', 'island', 'house', 'primary', 'democrats', 'states', 'moderate', 'house', 'district', 'deciding', 'take', 'popular', 'republican', 'former', 'mayor']"
in a nod to jfk joe biden pushing moonshot to fight cancer biden plans to draw attention to a new federally backed study that seeks to validate using blood tests to screen against multiple cancers,"['nod', 'jfk', 'joe', 'biden', 'pushing', 'moonshot', 'fight', 'cancer', 'biden', 'plans', 'draw', 'attention', 'new', 'federally', 'backed', 'study', 'seeks', 'validate', 'using', 'blood', 'tests', 'screen', 'multiple', 'cancers']"
how ani liu is brilliantly disguising her art as science the researchbased artist has found dynamic ways to confront conversations about female empowerment motherhood and labor in her artwork,"['ani', 'liu', 'brilliantly', 'disguising', 'art', 'science', 'researchbased', 'artist', 'found', 'dynamic', 'ways', 'confront', 'conversations', 'female', 'empowerment', 'motherhood', 'labor', 'artwork']"
sidney tackles the notsocomfortable conversations about a black cinema icon its not about sensationalizing or even tarnishing the reputation of sidney poitier rather the new documentary honors his humanity  every facet of it,"['sidney', 'tackles', 'notsocomfortable', 'conversations', 'black', 'cinema', 'icon', 'sensationalizing', 'even', 'tarnishing', 'reputation', 'sidney', 'poitier', 'rather', 'new', 'documentary', 'honors', 'humanity', 'every', 'facet']"
carlos alcaraz wins us open for st slam title top ranking carlos alcaraz defeated casper ruud in the us open final to earn his first grand slam at age  and become the youngest man to move up to no  in the rankings,"['carlos', 'alcaraz', 'wins', 'us', 'open', 'st', 'slam', 'title', 'top', 'ranking', 'carlos', 'alcaraz', 'defeated', 'casper', 'ruud', 'us', 'open', 'final', 'earn', 'first', 'grand', 'slam', 'age', 'become', 'youngest', 'man', 'move', 'rankings']"
weather helping but threat from western fires persists firefighters made progress against a huge northern california wildfire that was still growing and threatening thousands of mountain homes,"['weather', 'helping', 'threat', 'western', 'fires', 'persists', 'firefighters', 'made', 'progress', 'huge', 'northern', 'california', 'wildfire', 'still', 'growing', 'threatening', 'thousands', 'mountain', 'homes']"
biden honors  victims vows commitment to thwart terror president joe biden has marked the st anniversary of the sept  attacks taking part in a somber wreathlaying ceremony held at the pentagon under a steady rain,"['biden', 'honors', 'victims', 'vows', 'commitment', 'thwart', 'terror', 'president', 'joe', 'biden', 'marked', 'st', 'anniversary', 'sept', 'attacks', 'taking', 'part', 'somber', 'wreathlaying', 'ceremony', 'held', 'pentagon', 'steady', 'rain']"
 attacks still reverberate as us marks st anniversary september th remains a point for reflection on the  attacks that reconfigured national security policy and spurred a us war on terror worldwide,"['attacks', 'still', 'reverberate', 'us', 'marks', 'st', 'anniversary', 'september', 'th', 'remains', 'point', 'reflection', 'attacks', 'reconfigured', 'national', 'security', 'policy', 'spurred', 'us', 'war', 'terror', 'worldwide']"
last reactor at ukraines zaporizhzhia nuclear plant stopped the plant one of the  biggest atomic power stations in the world has been occupied by russian forces since early in the war which marked its th day on sunday,"['last', 'reactor', 'ukraines', 'zaporizhzhia', 'nuclear', 'plant', 'stopped', 'plant', 'one', 'biggest', 'atomic', 'power', 'stations', 'world', 'occupied', 'russian', 'forces', 'since', 'early', 'war', 'marked', 'th', 'day', 'sunday']"
payment processor visa to start categorizing sales at gun stores visas adoption is significant as the largest payment network and will likely add pressure for mastercard and american express to adopt the code as well,"['payment', 'processor', 'visa', 'start', 'categorizing', 'sales', 'gun', 'stores', 'visas', 'adoption', 'significant', 'largest', 'payment', 'network', 'likely', 'add', 'pressure', 'mastercard', 'american', 'express', 'adopt', 'code', 'well']"
us trump team propose names for arbiter in maralago probe the justice department proposed two retired judges for the role trumps team proposed a retired judge and a lawyer,"['us', 'trump', 'team', 'propose', 'names', 'arbiter', 'maralago', 'probe', 'justice', 'department', 'proposed', 'two', 'retired', 'judges', 'role', 'trumps', 'team', 'proposed', 'retired', 'judge', 'lawyer']"
james cameron presents new scenes from avatar the way of water at d expo the director told the audience he was super excited to be finally finishing up movie two  as he has three additional installments in the works,"['james', 'cameron', 'presents', 'new', 'scenes', 'avatar', 'way', 'water', 'expo', 'director', 'told', 'audience', 'super', 'excited', 'finally', 'finishing', 'movie', 'two', 'three', 'additional', 'installments', 'works']"
russia says its pulling back forces from ukraines kharkiv region russias defense ministry announced that troops will be pulled back in two area where a ukrainian counter offensive has made significant advances,"['russia', 'says', 'pulling', 'back', 'forces', 'ukraines', 'kharkiv', 'region', 'russias', 'defense', 'ministry', 'announced', 'troops', 'pulled', 'back', 'two', 'area', 'ukrainian', 'counter', 'offensive', 'made', 'significant', 'advances']"
severe winds batter southern california as heat wave breaks after a day heat wave that nearly overwhelmed the electrical grid southern california got cooler weather but also a ferocious tropical storm,"['severe', 'winds', 'batter', 'southern', 'california', 'heat', 'wave', 'breaks', 'day', 'heat', 'wave', 'nearly', 'overwhelmed', 'electrical', 'grid', 'southern', 'california', 'got', 'cooler', 'weather', 'also', 'ferocious', 'tropical', 'storm']"
ukraine claws back some territory nuclear plant in peril ukrainian forces are claiming new success in their counteroffensive against russian forces in the east,"['ukraine', 'claws', 'back', 'territory', 'nuclear', 'plant', 'peril', 'ukrainian', 'forces', 'claiming', 'new', 'success', 'counteroffensive', 'russian', 'forces', 'east']"
watch harry styles pay tribute to queen elizabeth ii at nyc concert please join me in a round of applause for  years of service the pop star told the crowd after he paused his madison square garden performance,"['watch', 'harry', 'styles', 'pay', 'tribute', 'queen', 'elizabeth', 'ii', 'nyc', 'concert', 'please', 'join', 'round', 'applause', 'years', 'service', 'pop', 'star', 'told', 'crowd', 'paused', 'madison', 'square', 'garden', 'performance']"
exemployee testifies he now doubts r kelly abuse denials derrell mcdavids testimony could be a major blow to the rb singers hope of acquittal,"['exemployee', 'testifies', 'doubts', 'r', 'kelly', 'abuse', 'denials', 'derrell', 'mcdavids', 'testimony', 'could', 'major', 'blow', 'rb', 'singers', 'hope', 'acquittal']"
our hearts are broken historic front pages mark the queens death both british and international newspapers honor the passing of the uks longestreigning monarch,"['hearts', 'broken', 'historic', 'front', 'pages', 'mark', 'queens', 'death', 'british', 'international', 'newspapers', 'honor', 'passing', 'uks', 'longestreigning', 'monarch']"
jojo siwa to receive prestigious glsen honor for her lgbtq advocacy work the yearold singer dancer and youtube icon will receive the  gamechanger award for her focus on antibullying efforts,"['jojo', 'siwa', 'receive', 'prestigious', 'glsen', 'honor', 'lgbtq', 'advocacy', 'work', 'yearold', 'singer', 'dancer', 'youtube', 'icon', 'receive', 'gamechanger', 'award', 'focus', 'antibullying', 'efforts']"
