text,clean_text
"Sen. Tim Scott Downplays Electability Concerns Over Struggling Senate GOP Candidates ""Who we have on the field is who we’re gonna play,” Scott told ""Fox News Sunday.""",sen tim scott downplays electability concerns over struggling senate gop candidates who we have on the field is who were gonna play scott told fox news sunday
Boston Marathon To Make Race More Inclusive For Nonbinary Runners The race's organizers say nonbinary athletes won't have to register with the men's or women's divisions and provided qualifying times to guide their training.,boston marathon to make race more inclusive for nonbinary runners the races organizers say nonbinary athletes wont have to register with the mens or womens divisions and provided qualifying times to guide their training
"Anthony Varvaro, MLB Pitcher Turned Transit Cop, Dies In Crash On Way To 9/11 Ceremony Varvaro pitched mostly with the Atlanta Braves and started his law enforcement career in 2016.",anthony varvaro mlb pitcher turned transit cop dies in crash on way to  ceremony varvaro pitched mostly with the atlanta braves and started his law enforcement career in 
Electability Is On The Ballot In Key Rhode Island House Primary Democrats in the state’s more moderate House district are deciding who will take on a popular Republican former mayor.,electability is on the ballot in key rhode island house primary democrats in the states more moderate house district are deciding who will take on a popular republican former mayor
"In A Nod To JFK, Joe Biden Pushing 'Moonshot' To Fight Cancer Biden plans to draw attention to a new federally backed study that seeks to validate using blood tests to screen against multiple cancers.",in a nod to jfk joe biden pushing moonshot to fight cancer biden plans to draw attention to a new federally backed study that seeks to validate using blood tests to screen against multiple cancers
"How Ani Liu Is Brilliantly Disguising Her Art As Science The research-based artist has found dynamic ways to confront conversations about female empowerment, motherhood and labor in her artwork.",how ani liu is brilliantly disguising her art as science the researchbased artist has found dynamic ways to confront conversations about female empowerment motherhood and labor in her artwork
"'Sidney' Tackles The Not-So-Comfortable Conversations About A Black Cinema Icon It’s not about sensationalizing or even tarnishing the reputation of Sidney Poitier. Rather, the new documentary honors his humanity — every facet of it.",sidney tackles the notsocomfortable conversations about a black cinema icon its not about sensationalizing or even tarnishing the reputation of sidney poitier rather the new documentary honors his humanity  every facet of it
"Carlos Alcaraz Wins U.S. Open For 1st Slam Title, Top Ranking Carlos Alcaraz defeated Casper Ruud in the U.S. Open final to earn his first Grand Slam at age 19 and become the youngest man to move up to No. 1 in the rankings.",carlos alcaraz wins us open for st slam title top ranking carlos alcaraz defeated casper ruud in the us open final to earn his first grand slam at age  and become the youngest man to move up to no  in the rankings
"Weather Helping, But Threat From Western Fires Persists Firefighters made progress against a huge Northern California wildfire that was still growing and threatening thousands of mountain homes.",weather helping but threat from western fires persists firefighters made progress against a huge northern california wildfire that was still growing and threatening thousands of mountain homes
"Biden Honors 9/11 Victims, Vows Commitment To Thwart Terror President Joe Biden has marked the 21st anniversary of the Sept. 11 attacks, taking part in a somber wreath-laying ceremony held at the Pentagon under a steady rain.",biden honors  victims vows commitment to thwart terror president joe biden has marked the st anniversary of the sept  attacks taking part in a somber wreathlaying ceremony held at the pentagon under a steady rain
9/11 Attacks Still Reverberate As U.S. Marks 21st Anniversary September 11th remains a point for reflection on the 2001 attacks that reconfigured national security policy and spurred a U.S. “war on terror” worldwide., attacks still reverberate as us marks st anniversary september th remains a point for reflection on the  attacks that reconfigured national security policy and spurred a us war on terror worldwide
"Last Reactor At Ukraine's Zaporizhzhia Nuclear Plant Stopped The plant, one of the 10 biggest atomic power stations in the world, has been occupied by Russian forces since early in the war, which marked its 200th day on Sunday.",last reactor at ukraines zaporizhzhia nuclear plant stopped the plant one of the  biggest atomic power stations in the world has been occupied by russian forces since early in the war which marked its th day on sunday
"Payment Processor Visa To Start Categorizing Sales At Gun Stores Visa’s adoption is significant as the largest payment network, and will likely add pressure for Mastercard and American Express to adopt the code as well.",payment processor visa to start categorizing sales at gun stores visas adoption is significant as the largest payment network and will likely add pressure for mastercard and american express to adopt the code as well
"US, Trump Team Propose Names For Arbiter In Mar-A-Lago Probe The Justice Department proposed two retired judges for the role. Trump’s team proposed a retired judge and a lawyer.",us trump team propose names for arbiter in maralago probe the justice department proposed two retired judges for the role trumps team proposed a retired judge and a lawyer
"James Cameron Presents New Scenes From 'Avatar: The Way Of Water' At D23 Expo The director told the audience he was ""super excited to be finally finishing up movie two"" — as he has three additional installments in the works.",james cameron presents new scenes from avatar the way of water at d expo the director told the audience he was super excited to be finally finishing up movie two  as he has three additional installments in the works
Russia Says It's Pulling Back Forces From Ukraine's Kharkiv Region Russia’s Defense Ministry announced that troops will be pulled back in two area where a Ukrainian counter offensive has made significant advances.,russia says its pulling back forces from ukraines kharkiv region russias defense ministry announced that troops will be pulled back in two area where a ukrainian counter offensive has made significant advances
"Severe Winds Batter Southern California As Heat Wave Breaks After a 10-day heat wave that nearly overwhelmed the electrical grid, Southern California got cooler weather but also a ferocious tropical storm.",severe winds batter southern california as heat wave breaks after a day heat wave that nearly overwhelmed the electrical grid southern california got cooler weather but also a ferocious tropical storm
Ukraine Claws Back Some Territory; Nuclear Plant In Peril Ukrainian forces are claiming new success in their counteroffensive against Russian forces in the east.,ukraine claws back some territory nuclear plant in peril ukrainian forces are claiming new success in their counteroffensive against russian forces in the east
"Watch Harry Styles Pay Tribute To Queen Elizabeth II At NYC Concert “Please join me in a round of applause for 70 years of service,” the pop star told the crowd after he paused his Madison Square Garden performance.",watch harry styles pay tribute to queen elizabeth ii at nyc concert please join me in a round of applause for  years of service the pop star told the crowd after he paused his madison square garden performance
Ex-Employee Testifies He Now Doubts R. Kelly Abuse Denials Derrell McDavid’s testimony could be a major blow to the R&B singer's hope of acquittal.,exemployee testifies he now doubts r kelly abuse denials derrell mcdavids testimony could be a major blow to the rb singers hope of acquittal
'Our Hearts Are Broken': Historic Front Pages Mark The Queen's Death Both British and international newspapers honor the passing of the U.K'.s longest-reigning monarch.,our hearts are broken historic front pages mark the queens death both british and international newspapers honor the passing of the uks longestreigning monarch
"JoJo Siwa To Receive Prestigious GLSEN Honor For Her LGBTQ Advocacy Work The 19-year-old singer, dancer and YouTube icon will receive the 2022 Gamechanger Award for her focus on anti-bullying efforts.",jojo siwa to receive prestigious glsen honor for her lgbtq advocacy work the yearold singer dancer and youtube icon will receive the  gamechanger award for her focus on antibullying efforts
"UN Chief Asks World For 'Massive' Help In Flood-Hit Pakistan Speaking from Islamabad, Antonio Guterres said countries bearing more responsibility for climate change ""should have faced this challenge.""",un chief asks world for massive help in floodhit pakistan speaking from islamabad antonio guterres said countries bearing more responsibility for climate change should have faced this challenge
"Politician's DNA Connected To Las Vegas Journalist’s Murder, Police Say Clark County Public Administrator Robert Telles was arrested in the fatal stabbing of Jeff German, who had been investigating his office.",politicians dna connected to las vegas journalists murder police say clark county public administrator robert telles was arrested in the fatal stabbing of jeff german who had been investigating his office
Michelle Obama Celebrated For Wearing Braids To Her White House Portrait Unveiling The internet ignited in approval over the former first lady's hairstyle choice for the monumental day.,michelle obama celebrated for wearing braids to her white house portrait unveiling the internet ignited in approval over the former first ladys hairstyle choice for the monumental day
"Norman Reedus Opens Up About 'Walking Dead' Injury: 'I Thought I Was Going To Die' The actor said he was so badly concussed while shooting the series finale that he feared for his life and was ""holding onto the walls"" while recovering.",norman reedus opens up about walking dead injury i thought i was going to die the actor said he was so badly concussed while shooting the series finale that he feared for his life and was holding onto the walls while recovering
"Michigan Supreme Court Revives Abortion Rights Amendment For November's Ballot Opponents of the measure claimed typos made the qualifying petitions incomprehensible, but the state's highest court rejected that argument.",michigan supreme court revives abortion rights amendment for novembers ballot opponents of the measure claimed typos made the qualifying petitions incomprehensible but the states highest court rejected that argument
"Portland Residents With Disabilities Sue Over City's Blocked Sidewalks The lawsuit says allowing homeless people’s tents to block city sidewalks makes it difficult for people using wheelchairs, walkers or canes to use them.",portland residents with disabilities sue over citys blocked sidewalks the lawsuit says allowing homeless peoples tents to block city sidewalks makes it difficult for people using wheelchairs walkers or canes to use them
At Least 32 Dead In Fire At Karaoke Parlor In South Vietnam The fire in Thuan An city began late Tuesday and trapped both workers and customers inside the multi-story venue.,at least  dead in fire at karaoke parlor in south vietnam the fire in thuan an city began late tuesday and trapped both workers and customers inside the multistory venue
"Baseball Players Union Joins AFL-CIO In Show Of Solidarity With Other Workers The MLB Players Association will finally be a member of the AFL-CIO, affiliating with 57 other unions across industries.",baseball players union joins aflcio in show of solidarity with other workers the mlb players association will finally be a member of the aflcio affiliating with  other unions across industries
"Muslims Only Make Up 1% Of Characters On TV, Study Finds In most of the 200 scripted shows that researchers analyzed, Muslim characters were typically violent, dehumanized or disparaged — if they existed at all.",muslims only make up  of characters on tv study finds in most of the  scripted shows that researchers analyzed muslim characters were typically violent dehumanized or disparaged  if they existed at all
"The Unemployment Insurance System Is Not Ready For The Next Recession States are cutting back, and Congress is unlikely to step in even after the pandemic exposed the unemployment system's shortcomings.",the unemployment insurance system is not ready for the next recession states are cutting back and congress is unlikely to step in even after the pandemic exposed the unemployment systems shortcomings
"Power Outage At Austin Airport Leads To Flight Delays, Traffic Jams Airport officials in Austin, Texas, say an early morning power outage is causing flight delays even as electricity has been restored.",power outage at austin airport leads to flight delays traffic jams airport officials in austin texas say an early morning power outage is causing flight delays even as electricity has been restored
"Shelling Goes On Near Ukraine Nuclear Plant, Despite Risks The head of the International Atomic Energy Agency warned the U.N. Security Council  that “something very, very catastrophic could take place” at Zaporizhzhia.",shelling goes on near ukraine nuclear plant despite risks the head of the international atomic energy agency warned the un security council  that something very very catastrophic could take place at zaporizhzhia
"Cyberattack Prompts Los Angeles School District To Shut Down Its Computer Systems Such attacks have become a growing threat to U.S. schools, with several high-profile incidents reported since last year.",cyberattack prompts los angeles school district to shut down its computer systems such attacks have become a growing threat to us schools with several highprofile incidents reported since last year
Fast-Moving Fairview Fire Kills At Least 2 In California A second fire killed two people in Northern California this weekend.,fastmoving fairview fire kills at least  in california a second fire killed two people in northern california this weekend
"Kody Clemens Strikes Out MVP Shohei Ohtani, Trails Dad Roger By 4,671 Ks The Detroit Tigers' rookie utility player got pressed into relief-pitching duty in a 10-0 loss to the Angels.",kody clemens strikes out mvp shohei ohtani trails dad roger by  ks the detroit tigers rookie utility player got pressed into reliefpitching duty in a  loss to the angels
"Mississippi Governor Says Water Pressure Is Now 'Solid' In Jackson The city remains under a boil water notice, which first went into effect on July 30.",mississippi governor says water pressure is now solid in jackson the city remains under a boil water notice which first went into effect on july 
"Meta, Parent Company Of Instagram, Fined $400 Million By Irish Regulators The social media giant was fined for violations of data privacy laws related to information about children on Instagram.",meta parent company of instagram fined  million by irish regulators the social media giant was fined for violations of data privacy laws related to information about children on instagram
School Starts Today For Survivors Of Deadly Mass Shooting In Uvalde There is new high fencing around the Texas community's public schools that still isn't finished and a heavy police patrol that many families don't trust.,school starts today for survivors of deadly mass shooting in uvalde there is new high fencing around the texas communitys public schools that still isnt finished and a heavy police patrol that many families dont trust
